Time;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Ireland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;UnitedKingdom
Dec-2007;4,85;4,85;4,92;4,85;4,85;4,85;4,85;4,85;4,85;4,85;4,85;4,85;4,85;4,12;6,35
janv-08;4,48;4,48;4,72;4,48;4,48;4,48;4,48;4,48;4,48;4,48;4,48;4,48;4,48;4,11;5,61
Feb-2008;4,36;4,36;4,61;4,36;4,36;4,36;4,36;4,36;4,36;4,36;4,36;4,36;4,36;4,21;5,61
mars-08;4,6;4,6;4,8;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,24;5,86
Apr-2008;4,78;4,78;5;4,78;4,78;4,78;4,78;4,78;4,78;4,78;4,78;4,78;4,78;4,14;5,9
May-2008;4,86;4,86;5,15;4,86;4,86;4,86;4,86;4,86;4,86;4,86;4,86;4,86;4,86;4,11;5,79
Jun-2008;4,94;4,94;5,33;4,94;4,94;4,94;4,94;4,94;4,94;4,94;4,94;4,94;4,94;4,17;5,9
Jul-2008;4,96;4,96;5,38;4,96;4,96;4,96;4,96;4,96;4,96;4,96;4,96;4,96;4,96;4,34;5,8
Aug-2008;4,97;4,97;5,38;4,97;4,97;4,97;4,97;4,97;4,97;4,97;4,97;4,97;4,97;4,4;5,76
sept-08;5,02;5,02;5,42;5,02;5,02;5,02;5,02;5,02;5,02;5,02;5,02;5,02;5,02;4,49;5,87
oct-08;5,11;5,11;5,99;5,11;5,11;5,11;5,11;5,11;5,11;5,11;5,11;5,11;5,11;3,63;6,18
nov-08;4,24;4,24;6,08;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;3,2;4,4
Dec-2008;3,29;3,29;5,37;3,29;3,29;3,29;3,29;3,29;3,29;3,29;3,29;3,29;3,29;1,82;3,21
janv-09;2,46;2,46;4,42;2,46;2,46;2,46;2,46;2,46;2,46;2,46;2,46;2,46;2,46;1,35;2,28
Feb-2009;1,94;1,94;3,86;1,94;1,94;1,94;1,94;1,94;1,94;1,94;1,94;1,94;1,94;0,85;2,08
mars-09;1,64;1,64;3,28;1,64;1,64;1,64;1,64;1,64;1,64;1,64;1,64;1,64;1,64;0,4;1,83
Apr-2009;1,42;1,42;2,94;1,42;1,42;1,42;1,42;1,42;1,42;1,42;1,42;1,42;1,42;0,3;1,48
May-2009;1,28;1,28;2,67;1,28;1,28;1,28;1,28;1,28;1,28;1,28;1,28;1,28;1,28;0,47;1,3
Jun-2009;1,23;1,23;2,33;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;0,39;1,21
Jul-2009;0,98;0,98;2,06;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,98;0,18;1,03
Aug-2009;0,86;0,86;1,94;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,16;0,8
sept-09;0,77;0,77;1,76;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,15;0,62
oct-09;0,74;0,74;1,58;0,74;0,74;0,74;0,74;0,74;0,74;0,74;0,74;0,74;0,74;0,18;0,56
nov-09;0,72;0,72;1,56;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,18;0,6
Dec-2009;0,71;0,71;1,55;0,71;0,71;0,71;0,71;0,71;0,71;0,71;0,71;0,71;0,71;0,17;0,61
janv-10;0,68;0,68;1,46;0,68;0,68;0,68;0,68;0,68;0,68;0,68;0,68;0,68;0,68;0,2;0,6
Feb-2010;0,66;0,66;1,39;0,66;0,66;0,66;0,66;0,66;0,66;0,66;0,66;0,66;0,66;0,22;0,6
mars-10;0,65;0,65;1,37;0,65;0,65;0,65;0,65;0,65;0,65;0,65;0,65;0,65;0,65;0,23;0,6
Apr-2010;0,64;0,64;1,28;0,64;0,64;0,64;0,64;0,64;0,64;0,64;0,64;0,64;0,64;0,29;0,6
May-2010;0,69;0,69;1,25;0,69;0,69;0,69;0,69;0,69;0,69;0,69;0,69;0,69;0,69;0,28;0,66
Jun-2010;0,73;0,73;1,15;0,73;0,73;0,73;0,73;0,73;0,73;0,73;0,73;0,73;0,73;0,27;0,7
Jul-2010;0,85;0,85;1,13;0,85;0,85;0,85;0,85;0,85;0,85;0,85;0,85;0,85;0,85;0,39;0,75
Aug-2010;0,9;0,9;1,15;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,45;0,75
sept-10;0,88;0,88;1,15;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,88;0,52;0,75
oct-10;1;1;1,19;1;1;1;1;1;1;1;1;1;1;0,81;0,75
nov-10;1,04;1,04;1,24;1,04;1,04;1,04;1,04;1,04;1,04;1,04;1,04;1,04;1,04;1,11;0,75
Dec-2010;1,02;1,02;1,21;1,02;1,02;1,02;1,02;1,02;1,02;1,02;1,02;1,02;1,02;1,28;0,76
janv-11;1,02;1,02;1,22;1,02;1,02;1,02;1,02;1,02;1,02;1,02;1,02;1,02;1,02;1,49;0,78
Feb-2011;1,09;1,09;1,24;1,09;1,09;1,09;1,09;1,09;1,09;1,09;1,09;1,09;1,09;1,74;0,78
mars-11;1,18;1,18;1,31;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,74;0,78
Apr-2011;1,32;1,32;1,41;1,32;1,32;1,32;1,32;1,32;1,32;1,32;1,32;1,32;1,32;1,8;0,8
May-2011;1,43;1,43;1,46;1,43;1,43;1,43;1,43;1,43;1,43;1,43;1,43;1,43;1,43;1,91;0,8
Jun-2011;1,49;1,49;1,51;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,85;0,85
Jul-2011;1,6;1,6;1,66;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,8;0,86
Aug-2011;1,55;1,55;1,6;1,55;1,55;1,55;1,55;1,55;1,55;1,55;1,55;1,55;1,55;1,71;0,89
sept-11;1,54;1,54;1,44;1,54;1,54;1,54;1,54;1,54;1,54;1,54;1,54;1,54;1,54;1,58;0,97
oct-11;1,58;1,58;1,4;1,58;1,58;1,58;1,58;1,58;1,58;1,58;1,58;1,58;1,58;1,45;1,02
nov-11;1,48;1,48;1,29;1,48;1,48;1,48;1,48;1,48;1,48;1,48;1,48;1,48;1,48;1,45;1,05
Dec-2011;1,43;1,43;1,08;1,43;1,43;1,43;1,43;1,43;1,43;1,43;1,43;1,43;1,43;1,37;1,09
janv-12;1,22;1,22;1,01;1,22;1,22;1,22;1,22;1,22;1,22;1,22;1,22;1,22;1,22;1,56;1,11
Feb-2012;1,05;1,05;1;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,59;1,1
mars-12;0,86;0,86;0,99;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,86;1,49;1,08
Apr-2012;0,74;0,74;0,97;0,74;0,74;0,74;0,74;0,74;0,74;0,74;0,74;0,74;0,74;1,44;1,06
May-2012;0,68;0,68;0,9;0,68;0,68;0,68;0,68;0,68;0,68;0,68;0,68;0,68;0,68;1,38;1,01
Jun-2012;0,66;0,66;0,62;0,66;0,66;0,66;0,66;0,66;0,66;0,66;0,66;0,66;0,66;1,24;0,97
Jul-2012;0,5;0,5;0,41;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1,1;0,86
Aug-2012;0,33;0,33;0,31;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;1,15;0,7
sept-12;0,25;0,25;0,32;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;1,04;0,64
oct-12;0,21;0,21;0,33;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,98;0,54
nov-12;0,19;0,19;0,3;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;1,06;0,5
Dec-2012;0,19;0,19;0,28;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;1,01;0,5
janv-13;0,2;0,2;0,31;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,96;0,49
Feb-2013;0,22;0,22;0,33;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,98;0,49
mars-13;0,21;0,21;0,27;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,97;0,49
Apr-2013;0,21;0,21;0,26;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,95;0,49
May-2013;0,2;0,2;0,24;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,92;0,49
Jun-2013;0,21;0,21;0,26;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,92;0,49
Jul-2013;0,22;0,22;0,27;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,93;0,48
Aug-2013;0,23;0,23;0,27;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,93;0,49
sept-13;0,22;0,22;0,27;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,89;0,49
oct-13;0,23;0,23;0,27;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,92;0,5
nov-13;0,22;0,22;0,25;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,92;0,5
Dec-2013;0,27;0,27;0,26;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,82;0,53
janv-14;0,29;0,29;0,28;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,73;0,53
Feb-2014;0,29;0,29;0,27;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,73;0,53
mars-14;0,31;0,31;0,29;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,73;0,53
Apr-2014;0,33;0,33;0,31;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,7;0,53
May-2014;0,32;0,32;0,35;0,32;0,32;0,32;0,32;0,32;0,32;0,32;0,32;0,32;0,32;0,66;0,55
Jun-2014;0,24;0,24;0,36;0,24;0,24;0,24;0,24;0,24;0,24;0,24;0,24;0,24;0,24;0,58;0,55
Jul-2014;0,21;0,21;0,38;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,26;0,55
Aug-2014;0,19;0,19;0,37;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,22;0,55
sept-14;0,1;0,1;0,28;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,19;0,55
oct-14;0,08;0,08;0,3;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,14;0,54
nov-14;0,08;0,08;0,3;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,05;0,53
Dec-2014;0,08;0,08;0,3;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,06;0,53
janv-15;0,06;0,06;0,18;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,11;0,53
Feb-2015;0,05;0,05;-0,33;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;-0,02;0,53
mars-15;0,03;0,03;-0,19;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;-0,11;0,53
Apr-2015;0;0;-0,19;0;0;0;0;0;0;0;0;0;0;-0,26;0,53
May-2015;-0,01;-0,01;-0,18;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,27;0,54
Jun-2015;-0,01;-0,01;-0,2;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,01;-0,32;0,55
