;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Irland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;UK
2000 Sep;78,57871441;73,23;107,1361827;93,6;111,8888111;91,02962155;115,1880818;71,78282172;118,20236;91,5068049;89,58;115,93;115,8790549;100,310031;112,202381
2000 Oct;77,92698114;73,07;111,022003;95,4;113,1886811;90,82822858;116,6908662;75,98240176;118,6040673;92,70392919;90,74;113,8;113,9267121;100,810081;112,3015873
2000 Nov;80,70802488;74,8;112,5479161;94,2;112,8887111;91,43240749;117,6703386;79,15208479;120,1104695;96,6391619;90,2;115,03;119,6535843;104,010401;113,1944444
2000 Dec;80,97324556;73,92;114,6548197;93,7;114,0885911;92,13728287;118,648563;78,50214979;121,8177253;103,2725733;89,22;114,7;119,0728875;98,60986099;113,1944444
2001 Jan;79,38741676;75,25;115,2137648;94,4;113,5886411;91,83519342;117,4599668;78,31216878;118,7044941;98,20289853;88,4;113,35;116,2394874;99,609961;112,797619
2001 Feb;80,6708623;75,88;115,2401441;93,7;113,9886011;92,84215826;117,5034262;84,75152485;118,0015064;96,8966963;86,6;114,14;115,5186223;98,60986099;112,202381
2001 Mar;80,28083565;73,61;114,0535876;94,5;113,4886511;91,331711;113,853617;79,6220378;117,700226;103,9911498;90,4;117,16;115,3183821;98,90989099;112,0039683
2001 Apr;79,0605685;73,88;113,4076086;89,8;112,0887911;89,72056726;112,60126;79,8120188;117,4993723;95,12562141;91,2;113,02;113,7264718;94,10941094;111,0119048
2001 May;78,99540027;75,68;110,3226562;91,6;112,9887011;90,7275321;115,8028482;70,84291571;116,595531;96,10937882;91,8;116,6;115,979175;97,90979098;110,7142857
2001 Jun;78,76533493;76,62;108,0572927;90,4;112,8887111;91,13031803;114,811025;77,94220578;116,6959578;96,70018632;89,4;116,38;115,8089708;97,20972097;111,0119048
2001 Jul;79,8278727;72,61;110,1645065;89,4;112,0887911;88,41151296;114,8369948;73,83261674;115,4908361;97,72561325;88,5;112,57;113,215859;96,90969097;110,0198413
2001 Aug;79,97869297;75,52;116,5040014;93,1;113,6886311;90,82822858;115,3238592;77,94220578;116,7963846;92,79981553;91,5;115,37;119,0028034;99,20992099;111,8055556
2001 Sep;79,31111069;73,85;109,6634158;92,1;112,6887311;89,61987077;115,9081632;76,73232677;115,2899824;95,94608418;89,9;115,93;114,577493;97,90979098;110,515873
2001 Oct;80,27425563;73,64;111,9426519;91,8;110,7889211;88,10942351;116,0098926;73,74262574;115,0891288;95,04202704;86,6;116,6;114,1770124;98,20982098;109,4246032
2001 Nov;77,99009499;72,79;117,0586451;91,8;110,2889711;87,00176219;115,9548506;75,14248575;113,5827266;96,76598826;89,6;117,94;113,7164598;98,70987099;108,9285714
2001 Dec;79,19894352;72,5;112,59342;89,9;110,9889011;87,50524461;107,4735031;82,51174883;114,5869947;99,911253;91,3;116,26;112,7252703;98,20982098;109,4246032
2002 Jan;79,26396672;73,57;118,346762;90,1;110,7889211;88,00872703;113,669672;83,63163684;113,381873;97,8288049;89,7;113,91;114,8177813;97,00970097;108,9285714
2002 Feb;79,34762441;73,58;113,134644;89,9;110,4889511;88,21012;117,2772755;79,8120188;114,8882752;96,16550776;86;112,12;114,4373248;99,20992099;109,2261905
2002 Mar;78,18280068;75,34;103,2434507;94,3;111,0888911;88,41151296;117,0186107;87,46125387;115,1895556;96,55304905;89,6;116,26;114,2270725;99,509951;109,9206349
2002 Apr;81,22760711;75;122,6067071;94,2;112,1887811;88,51220945;118,6493433;82,51174883;112,7793121;99,53637374;91,7;118,39;114,9779736;98,30983098;109,7222222
2002 May;80,84561695;75,72;117,124168;94;111,7888211;87,60594109;113,9817264;86,81131887;115,9929701;99,54844719;92,5;115,48;114,4072887;98,40984098;111,1111111
2002 Jun;81,52954284;74,18;111,2879007;95,9;110,8889111;90,12335319;116,0517516;88,95110489;114,8882752;100,9188981;91,6;115,93;113,4461354;97,00970097;105,7539683
2002 Jul;80,66794299;74,01;119,0316648;94,7;110,4889511;88,41151296;115,138584;83,91160884;114,5869947;97,58447192;91,6;116,38;115,1481778;97,50975098;108,4325397
2002 Aug;77,80732765;75,33;112,3798106;94,2;111,6888311;90,42544264;113,7108552;83,17168283;113,5827266;95,50231538;92;113,46;116,3195835;97,20972097;109,0277778
2002 Sep;80,63741202;75,42;112,3267074;94,1;110,5889411;89,31778132;113,854335;86,15138486;115,3904092;98,05723302;91,6;114,25;115,3283941;97,20972097;109,2261905
2002 Oct;80,19134646;75,41;119,6553468;94,9;109,6890311;88,61290593;116,1537704;82,98170183;114,1852875;102,9950668;92,5;116,15;116,8602323;98,00980098;108,531746
2002 Nov;80,06333083;75,72;112,789951;96,3;110,2889711;90,22404968;117,7041092;84,47155284;115,6916897;103,7645624;90;112,46;116,0092111;98,90989099;108,3333333
2002 Dec;80,11584302;72,94;111,7420101;95,4;108,8891111;88,61290593;115,327413;76,91230877;114,4865679;100,8365171;88,7;114,14;115,6087305;99,509951;108,531746
2003 Jan;82,92061068;76,82;115,4827249;94,6;110,1889811;89,31778132;119,1297871;83,45165483;115,4908361;103,2350838;92,3;113,58;116,7501001;99,809981;107,2420635
2003 Feb;81,47187574;75,92;116,3380749;96,1;111,4888511;89,31778132;117,0007997;86,81131887;113,5827266;105,3382276;92,9;117,16;116,3996796;97,50975098;108,234127
2003 Mar;81,59033774;75,65;111,477391;93,3;110,1889811;89,11638835;117,8157594;85,87141286;114,0848607;104,9944968;89,9;111,78;115,6187425;97,60976098;107,8373016
2003 Apr;82,02285153;76,7;116,4434553;95,8;109,9890011;88,8142989;118,8889104;85,41145885;115,1895556;104,592336;89,1;114,92;117,370845;101,110111;107,4404762
2003 May;80,09546188;74,05;112,1680986;93,2;107,5892411;88,10942351;119,5768044;86,34136586;111,9758976;103,2050107;88,3;114,47;115,4785743;98,90989099;107,1428571
2003 Jun;81,14874597;76,41;111,8408369;93,8;107,8892111;87,70663758;120,2893726;86,62133787;113,2814461;101,4912795;86,8;113,13;115,979175;99,609961;107,9365079
2003 Jul;81,4331932;76,82;116,41179;95,1;109,2890711;89,82126374;120,9904399;88,95110489;114,2857143;102,3897057;88;115,26;117,1305567;100,910091;108,4325397
2003 Aug;81,57521739;76,61;112,9656945;94,5;108,5891411;87,60594109;115,8559891;93,06069393;113,381873;104,705186;88,9;113,69;116,70004;99,709971;108,4325397
2003 Sep;81,5103124;77,07;117,6093838;95,1;108,6891311;87,30385164;121,5164276;84,47155284;112,8797389;104,7364985;88,9;117,38;116,0392471;100,510051;108,234127
2003 Oct;81,70245787;77,2;117,2768455;94,7;111,1888811;90,02265671;119,984708;96,52034797;113,7835802;106,8892787;92,2;114,7;118,6523829;100,010001;109,2261905
2003 Nov;81,50111627;77,03;110,9167596;96,1;109,3890611;90,82822858;118,2458687;96,52034797;114,6874215;106,7949388;89,9;115,37;117,2006408;99,809981;108,4325397
2003 Dec;82,79267172;80;112,8950204;95,6;109,9890011;91,23101452;123,5579948;91,47085291;114,988702;103,8445784;87,9;116,82;117,2907489;102,310231;109,1269841
2004 Jan;83,87971578;76,8;110,7751725;97,3;110,0889911;90,52613913;117,4260735;87,55124488;114,7878484;110,3589122;93,1;113,64;116,7801362;103,410341;108,8293651
2004 Feb;84,12334211;78,83;112,1407531;98,3;110,5889411;91,02962155;119,6493587;88,58114189;114,6874215;111,6750021;93,3;111,03;118,5222267;103,810381;108,3333333
2004 Mar;84,62536978;79,96;114,9575419;97,7;111,4888511;90,42544264;123,0085612;91,01089891;113,0805925;113,2261489;92,9;116,24;118,752503;102,110211;110,7142857
2004 Apr;85,53775195;81,37;115,1760546;97,6;111,2888711;91,73449694;123,353601;92,32076792;113,884007;110,752837;92,2;115,48;118,4020825;105,3105311;110,0198413
2004 May;86,18992116;80,46;110,8755724;98,9;110,7889211;92,74146178;122,1429021;87,65123488;114,7878484;109,0267697;93,2;114,07;118,5222267;104,010401;109,6230159
2004 Jun;86,71024491;81,46;116,432787;100,2;111,3888611;92,13728287;121,0013659;89,8910109;114,0848607;116,1680116;93,4;113,74;119,3331998;103,810381;109,8214286
2004 Jul;87,09272824;83,89;113,5028172;97,8;111,4888511;93,2449442;122,9910076;99,970003;113,7835802;109,6609355;95,6;113,42;119,1029235;102,510251;108,1349206
2004 Aug;87,93068788;82,37;110,8926107;101,3;108,1891811;92,33867584;115,0955566;80,0919908;112,6788853;109,3939024;92,2;108,54;117,7112535;105,4105411;107,8373016
2004 Sep;88,62364423;83,49;114,864777;100,8;111,5888411;92,03658639;121,5028413;89,7010299;113,5827266;109,4388827;94,3;107,89;119,5634762;105,9105911;108,0357143
2004 Oct;88,56496395;85,32;107,9170524;101,4;112,0887911;93,14424771;115,6255788;90,4509549;114,1852875;111,8647968;93,7;110,06;118,051662;105,7105711;108,4325397
2004 Nov;88,94580385;84,9;113,0889791;101;111,0888911;91,63380045;120,3357611;89,42105789;112,277178;109,725146;93,2;111,9;119,453344;106,2106211;109,0277778
2004 Dec;87,69509385;86,93;116,7414303;103,8;110,9889011;91,23101452;120,4655268;92,60073993;112,0763244;110,800379;93,2;110,6;117,7112535;102,610261;108,8293651
2005 Jan;87,01077875;86,95;112,4791617;102;113,0886911;94,05051607;120,3038025;90,3509649;112,0763244;108,5047927;91,1;109,41;117,9415298;102,810281;108,531746
