,BSI.M.U2.Y.V.M10.X.1.U2.2300.Z01.E
1984Nov,640528
1984Oct,636969
1984Sep,633726
1984Aug,629535
1984Jul,623605
1984Jun,621077
1984May,618004
1984Apr,613401
1984Mar,610195
1984Feb,608137
1984Jan,605126
1983Dec,603202
1983Nov,598152
1983Oct,594004
1983Sep,590755
1983Aug,589838
1983Jul,586244
1983Jun,581209
1983May,575486
1983Apr,569853
1983Mar,566924
1983Feb,561780
1983Jan,556651
1982Dec,550110
1982Nov,548225
1982Oct,540976
1982Sep,537923
1982Aug,534412
1982Jul,527954
1982Jun,525767
1982May,520468
1982Apr,516815
1982Mar,512036
1982Feb,507582
1982Jan,504536
1981Dec,500999
1981Nov,498146
1981Oct,495583
1981Sep,494524
1981Aug,489773
1981Jul,487962
1981Jun,487558
1981May,486641
1981Apr,485078
1981Mar,480949
1981Feb,480882
1981Jan,477333
1980Dec,472346
1980Nov,476486
1980Oct,472919
1980Sep,467787
1980Aug,465168
1980Jul,464247
1980Jun,459556
1980May,456373
1980Apr,453120
1980Mar,451401
1980Feb,446880
1980Jan,444232
