,BSI.M.U2.N.V.M30.X.1.U2.2300.Z01.E
1985Jul,1821939
1985Jun,1817711
1985May,1793439
1985Apr,1795251
1985Mar,1789683
1985Feb,1781459
1985Jan,1775445
1984Dec,1788789
1984Nov,1713265
1984Oct,1702022
1984Sep,1703224
1984Aug,1676482
1984Jul,1680205
1984Jun,1667878
1984May,1653436
1984Apr,1643651
1984Mar,1630393
1984Feb,1630341
1984Jan,1633989
1983Dec,1647621
1983Nov,1584090
1983Oct,1567503
1983Sep,1553088
1983Aug,1547855
1983Jul,1552104
1983Jun,1538656
1983May,1524104
1983Apr,1513358
1983Mar,1504016
1983Feb,1507165
1983Jan,1505476
1982Dec,1511643
1982Nov,1450665
1982Oct,1436243
1982Sep,1428063
1982Aug,1415708
1982Jul,1411299
1982Jun,1404812
1982May,1384283
1982Apr,1371844
1982Mar,1366808
1982Feb,1360752
1982Jan,1355428
1981Dec,1356895
1981Nov,1304605
1981Oct,1286505
1981Sep,1282692
1981Aug,1268614
1981Jul,1269429
1981Jun,1268356
1981May,1258407
1981Apr,1242420
1981Mar,1235037
1981Feb,1226929
1981Jan,1219922
1980Dec,1230451
1980Nov,1186620
1980Oct,1159637
1980Sep,1155084
1980Aug,1147865
1980Jul,1148139
1980Jun,1142412
1980May,1127563
1980Apr,1121677
1980Mar,1119526
1980Feb,1107384
1980Jan,1107100
