,STS.M.AT.S.UNEH.RTT000.4.000,STS.M.BE.S.UNEH.RTT000.4.000,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.DK.S.UNEH.RTT000.4.000,STS.M.ES.S.UNEH.RTT000.4.000,STS.M.FI.S.UNEH.RTT000.4.000,STS.M.FR.S.UNEH.RTT000.4.000,STS.M.GB.S.UNEH.RTT000.4.000,STS.M.GR.S.UNEH.RTT000.4.000,STS.M.IE.S.UNEH.RTT000.4.000,STS.M.IT.S.UNEH.RTT000.4.000,STS.M.LU.S.UNEH.RTT000.4.000,STS.M.NL.S.UNEH.RTT000.4.000,STS.M.PT.S.UNEH.RTT000.4.000,STS.M.SE.S.UNEH.RTT000.4.000
2003Jan,4.450000,8.040000,9.380000,4.830000,11.670000,8.900000,8.330000,5.070000,9.800000,4.760000,8.770000,3.180000,4.260000,7.250000,6.430000
2002Dec,4.460000,8.070000,9.250000,4.680000,11.600000,8.930000,8.530000,5.020000,9.970000,5.050000,8.410000,3.020000,4.190000,7.180000,6.270000
2002Nov,4.440000,8.070000,9.110000,4.750000,11.560000,8.960000,8.390000,5.070000,9.990000,5.080000,8.450000,2.940000,4.080000,7.110000,6.170000
2002Oct,4.450000,7.930000,8.980000,4.860000,11.580000,9.010000,8.310000,5.130000,10.010000,4.850000,8.480000,2.900000,3.990000,6.920000,5.990000
2002Sep,4.450000,7.710000,8.860000,4.970000,11.660000,9.080000,8.340000,5.160000,10.220000,4.460000,8.570000,2.750000,3.870000,6.530000,6.160000
2002Aug,4.410000,7.570000,8.740000,4.990000,11.660000,9.130000,8.320000,5.210000,10.240000,4.200000,8.600000,2.750000,3.770000,6.220000,5.890000
2002Jul,4.320000,7.600000,8.610000,4.760000,11.610000,9.150000,8.290000,5.150000,10.280000,4.180000,8.650000,2.670000,3.690000,6.250000,6.080000
2002Jun,4.200000,7.510000,8.500000,4.490000,11.400000,9.180000,8.220000,5.100000,10.270000,4.320000,8.780000,2.550000,3.590000,6.050000,5.620000
2002May,4.190000,7.470000,8.390000,4.380000,11.330000,9.200000,8.190000,5.150000,10.320000,4.390000,8.820000,2.500000,3.520000,5.830000,5.800000
2002Apr,4.280000,7.390000,8.310000,4.300000,11.330000,9.150000,8.170000,5.240000,10.340000,4.370000,8.860000,2.310000,3.440000,5.570000,5.970000
2002Mar,4.450000,7.360000,8.240000,4.290000,11.270000,9.090000,8.200000,5.160000,10.670000,4.370000,8.500000,2.170000,3.360000,5.470000,5.840000
2002Feb,4.520000,7.290000,8.180000,4.390000,11.470000,9.070000,8.200000,5.080000,10.710000,4.280000,8.530000,2.110000,3.290000,5.330000,5.810000
2002Jan,4.500000,7.320000,8.120000,4.550000,11.000000,9.090000,8.220000,5.060000,10.740000,4.190000,8.560000,2.090000,3.230000,5.350000,5.840000
2001Dec,4.390000,7.440000,8.070000,4.660000,10.730000,9.100000,8.350000,5.150000,10.830000,4.110000,8.830000,1.980000,3.190000,5.150000,5.850000
2001Nov,4.280000,7.380000,8.020000,4.740000,10.540000,9.120000,8.360000,5.110000,10.870000,4.210000,8.870000,1.970000,3.140000,5.140000,5.770000
2001Oct,4.180000,7.300000,7.960000,4.750000,10.440000,9.140000,8.360000,5.040000,10.910000,4.130000,8.900000,1.940000,3.120000,5.160000,6.180000
2001Sep,4.100000,6.770000,7.900000,4.690000,10.400000,9.140000,8.410000,5.000000,10.590000,4.150000,9.000000,1.890000,3.090000,5.140000,5.810000
2001Aug,4.060000,6.400000,7.840000,4.710000,10.470000,9.110000,8.390000,5.030000,10.630000,4.140000,9.040000,1.920000,3.070000,5.140000,5.850000
2001Jul,4.060000,6.310000,7.780000,4.530000,10.440000,9.090000,8.390000,5.040000,10.670000,4.040000,9.090000,1.910000,3.070000,5.180000,5.870000
2001Jun,4.090000,6.620000,7.720000,4.410000,10.510000,9.100000,8.450000,4.990000,10.660000,3.830000,9.080000,1.910000,3.070000,5.130000,5.720000
2001May,4.040000,6.760000,7.680000,4.320000,10.720000,9.130000,8.470000,4.890000,10.680000,3.720000,9.130000,1.840000,3.090000,5.140000,5.730000
2001Apr,3.910000,6.630000,7.650000,4.330000,10.560000,9.160000,8.490000,4.790000,10.730000,3.690000,9.180000,1.860000,3.120000,5.180000,5.670000
2001Mar,3.720000,6.340000,7.640000,4.390000,10.660000,9.180000,8.550000,4.860000,10.500000,3.720000,9.310000,1.850000,3.150000,5.140000,5.750000
2001Feb,3.640000,6.270000,7.660000,4.390000,10.750000,9.200000,8.590000,4.960000,10.510000,3.740000,9.350000,1.830000,3.200000,5.100000,5.850000
2001Jan,3.640000,6.330000,7.690000,4.260000,10.720000,9.230000,8.640000,5.070000,10.510000,3.770000,9.390000,1.870000,3.240000,4.900000,5.960000
2000Dec,3.730000,6.520000,7.740000,4.130000,11.120000,9.290000,8.690000,5.090000,10.650000,3.750000,9.570000,1.960000,3.310000,4.860000,4.940000
2000Nov,3.800000,6.720000,7.780000,4.070000,11.350000,9.390000,8.760000,5.130000,10.660000,3.760000,9.600000,2.020000,3.370000,4.750000,5.180000
2000Oct,3.850000,6.810000,7.830000,4.000000,11.520000,9.490000,8.840000,5.210000,10.630000,3.820000,9.630000,2.060000,3.440000,5.040000,5.200000
2000Sep,3.870000,6.870000,7.860000,4.030000,11.590000,9.550000,8.890000,5.280000,11.200000,3.970000,9.940000,2.240000,3.490000,5.150000,5.250000
2000Aug,3.830000,7.000000,7.890000,4.090000,11.700000,9.550000,8.980000,5.250000,11.250000,4.140000,9.980000,2.300000,3.550000,5.120000,5.520000
2000Jul,3.760000,6.770000,7.920000,4.210000,11.860000,9.560000,9.070000,5.220000,11.290000,4.260000,10.030000,2.280000,3.620000,5.010000,5.600000
2000Jun,3.630000,6.820000,7.960000,4.380000,11.940000,9.640000,9.150000,5.280000,11.410000,4.390000,10.210000,2.330000,3.670000,4.950000,5.800000
2000May,3.670000,6.870000,7.990000,4.470000,12.080000,9.800000,9.270000,5.470000,11.470000,4.490000,10.260000,2.360000,3.740000,5.030000,5.630000
2000Apr,3.840000,6.980000,8.030000,4.400000,12.230000,10.010000,9.390000,5.590000,11.510000,4.580000,10.310000,2.330000,3.800000,5.040000,5.900000
2000Mar,4.140000,7.070000,8.080000,4.430000,12.380000,10.190000,9.470000,5.620000,11.560000,4.560000,10.520000,2.370000,3.840000,5.100000,5.890000
2000Feb,4.260000,7.310000,8.120000,4.600000,12.560000,10.230000,9.610000,5.670000,11.580000,4.650000,10.550000,2.350000,3.900000,5.320000,6.060000
2000Jan,4.280000,7.490000,8.180000,5.030000,12.750000,10.170000,9.760000,5.690000,11.520000,4.800000,10.600000,2.360000,3.930000,5.490000,6.190000
1999Dec,4.190000,7.610000,8.240000,5.270000,12.850000,10.110000,9.840000,5.800000,12.330000,5.020000,10.650000,2.390000,3.980000,5.360000,6.260000
1999Nov,4.090000,7.690000,8.300000,5.270000,12.970000,10.100000,10.000000,5.710000,12.370000,5.140000,10.690000,2.370000,4.030000,5.230000,6.290000
1999Oct,4.010000,7.790000,8.360000,5.270000,13.040000,10.080000,10.150000,5.760000,12.280000,5.240000,10.720000,2.420000,4.080000,5.180000,6.370000
1999Sep,3.980000,8.000000,8.420000,5.190000,13.190000,10.050000,10.240000,5.710000,12.040000,5.260000,10.900000,2.440000,4.120000,5.390000,6.590000
1999Aug,4.000000,8.310000,8.470000,5.280000,13.310000,10.060000,10.380000,5.840000,12.070000,5.330000,10.930000,2.430000,4.160000,5.410000,6.650000
1999Jul,4.060000,8.450000,8.520000,4.990000,13.380000,10.120000,10.520000,5.890000,12.040000,5.540000,10.960000,2.410000,4.210000,5.540000,6.620000
1999Jun,4.160000,8.690000,8.570000,4.910000,13.520000,10.190000,10.610000,5.930000,11.980000,5.750000,11.040000,2.370000,4.260000,5.690000,6.700000
1999May,4.230000,8.840000,8.630000,4.960000,13.670000,10.280000,10.700000,5.980000,12.030000,5.900000,11.070000,2.380000,4.320000,5.820000,6.650000
1999Apr,4.250000,8.910000,8.700000,5.020000,13.910000,10.390000,10.760000,6.030000,12.060000,5.980000,11.110000,2.390000,4.380000,5.880000,6.930000
1999Mar,4.220000,8.980000,8.770000,4.980000,14.180000,10.520000,10.750000,6.050000,11.430000,6.110000,11.070000,2.410000,4.440000,5.690000,7.010000
1999Feb,4.220000,9.020000,8.850000,4.980000,14.490000,10.660000,10.750000,6.050000,11.450000,6.280000,11.090000,2.430000,4.500000,5.680000,7.030000
1999Jan,4.250000,9.060000,8.920000,4.970000,14.860000,10.760000,10.740000,6.070000,11.350000,6.480000,11.110000,2.380000,4.560000,5.660000,7.280000
1998Dec,4.330000,9.110000,8.990000,4.880000,15.280000,10.810000,10.710000,6.070000,11.370000,6.640000,11.420000,2.370000,4.640000,5.710000,7.390000
1998Nov,4.420000,9.130000,9.060000,4.820000,15.550000,10.820000,10.690000,6.020000,11.410000,6.790000,11.440000,2.530000,4.720000,5.830000,7.570000
1998Oct,4.520000,9.240000,9.140000,4.820000,15.830000,10.880000,10.680000,6.040000,11.080000,6.950000,11.460000,2.620000,4.800000,5.610000,7.410000
1998Sep,4.600000,9.380000,9.210000,4.830000,16.020000,11.020000,10.630000,6.100000,11.130000,7.110000,11.310000,2.600000,4.890000,5.740000,7.580000
1998Aug,4.670000,9.380000,9.290000,4.890000,16.250000,11.210000,10.640000,6.130000,11.170000,7.280000,11.320000,2.650000,4.980000,5.870000,8.100000
1998Jul,4.720000,9.330000,9.370000,4.880000,16.400000,11.390000,10.670000,6.150000,11.030000,7.450000,11.340000,2.700000,5.080000,6.030000,8.300000
1998Jun,4.770000,9.360000,9.450000,4.790000,16.630000,11.520000,10.650000,6.120000,10.910000,7.620000,11.490000,2.740000,5.180000,6.100000,8.160000
1998May,4.830000,9.420000,9.520000,4.880000,16.760000,11.600000,10.690000,6.140000,10.960000,7.780000,11.500000,2.790000,5.290000,5.910000,8.850000
1998Apr,4.880000,9.460000,9.580000,4.880000,16.860000,11.680000,10.730000,6.160000,10.940000,7.920000,11.520000,2.790000,5.400000,6.260000,8.700000
1998Mar,4.940000,9.460000,9.630000,4.890000,16.950000,11.760000,10.680000,6.190000,-,8.120000,11.130000,2.800000,5.500000,6.540000,8.450000
1998Feb,4.960000,9.430000,9.650000,4.880000,17.040000,11.830000,10.730000,6.230000,-,8.350000,11.130000,2.800000,5.620000,6.760000,8.830000
1998Jan,4.930000,9.400000,9.660000,5.100000,17.240000,11.890000,10.800000,6.200000,-,8.580000,11.130000,2.850000,5.720000,7.080000,8.840000
1997Dec,4.890000,9.380000,9.660000,5.090000,17.500000,11.950000,10.770000,6.240000,-,8.810000,11.290000,2.890000,5.830000,6.960000,8.830000
1997Nov,4.860000,9.330000,9.660000,5.110000,17.680000,12.010000,10.830000,6.400000,-,9.020000,11.290000,2.840000,5.940000,7.210000,9.180000
1997Oct,4.840000,9.310000,9.660000,5.120000,17.880000,12.090000,10.880000,6.490000,-,9.220000,11.300000,2.830000,6.060000,7.420000,9.400000
1997Sep,4.830000,9.280000,9.660000,5.110000,18.090000,12.170000,10.860000,6.540000,-,9.420000,11.030000,2.790000,6.170000,7.530000,9.530000
1997Aug,4.810000,9.260000,9.670000,5.160000,18.180000,12.290000,10.890000,6.690000,-,9.610000,11.040000,2.720000,6.280000,7.570000,9.640000
1997Jul,4.760000,9.260000,9.680000,5.210000,18.400000,12.450000,10.930000,6.860000,-,9.810000,11.040000,2.680000,6.390000,7.560000,10.090000
1997Jun,4.710000,9.200000,9.680000,5.210000,18.630000,12.680000,10.900000,7.030000,9.620000,10.010000,11.410000,2.650000,6.500000,7.360000,10.480000
1997May,4.670000,9.140000,9.670000,5.260000,18.720000,12.940000,10.930000,6.980000,9.600000,10.170000,11.410000,2.610000,6.620000,7.390000,10.220000
1997Apr,4.660000,9.120000,9.650000,5.240000,18.790000,13.170000,10.960000,7.020000,9.580000,10.370000,11.410000,2.550000,6.720000,7.540000,10.240000
1997Mar,4.670000,9.120000,9.610000,5.320000,18.800000,13.350000,10.910000,7.060000,-,10.520000,11.260000,2.560000,6.830000,7.720000,10.430000
1997Feb,4.660000,9.130000,9.550000,5.450000,18.940000,13.500000,10.920000,7.160000,-,10.630000,11.250000,2.630000,6.930000,7.880000,10.440000
1997Jan,4.630000,9.150000,9.460000,5.580000,19.010000,13.630000,10.910000,7.290000,-,10.780000,11.240000,2.700000,7.020000,7.870000,9.980000
1996Dec,4.610000,9.200000,9.370000,5.650000,19.080000,13.720000,10.860000,7.450000,-,10.950000,11.190000,2.770000,7.130000,7.810000,10.130000
1996Nov,4.620000,9.230000,9.280000,5.800000,19.270000,14.450000,10.840000,7.640000,-,11.120000,11.170000,2.760000,7.230000,7.840000,9.890000
1996Oct,4.640000,9.270000,9.190000,5.920000,19.420000,14.560000,10.840000,7.700000,-,11.330000,11.170000,2.760000,7.330000,7.850000,9.790000
1996Sep,4.680000,9.350000,9.100000,6.050000,19.570000,14.660000,10.860000,7.800000,-,11.540000,11.130000,2.780000,7.430000,7.870000,9.750000
1996Aug,4.720000,9.420000,9.010000,6.310000,19.680000,14.690000,10.880000,7.870000,-,11.660000,11.120000,2.820000,7.520000,7.930000,9.920000
1996Jul,4.740000,9.460000,8.920000,6.470000,19.890000,14.620000,10.910000,7.880000,-,11.740000,11.120000,2.930000,7.620000,7.980000,9.540000
1996Jun,4.760000,9.550000,8.830000,6.440000,19.810000,14.490000,10.950000,7.970000,9.680000,11.780000,11.330000,3.040000,7.710000,8.100000,9.600000
1996May,4.780000,9.680000,8.760000,6.540000,19.960000,14.310000,10.930000,8.060000,9.670000,11.830000,11.330000,3.100000,7.810000,8.170000,9.500000
1996Apr,4.810000,9.750000,8.690000,6.690000,20.130000,14.140000,10.860000,8.060000,9.660000,11.880000,11.320000,3.130000,7.900000,8.190000,9.440000
1996Mar,4.840000,9.800000,8.630000,6.720000,20.310000,14.030000,10.710000,8.130000,-,11.950000,11.050000,3.100000,7.980000,8.070000,9.140000
1996Feb,4.800000,9.870000,8.570000,6.680000,20.420000,15.410000,10.660000,8.110000,-,12.020000,11.030000,3.040000,8.080000,8.010000,9.230000
1996Jan,4.700000,9.890000,8.530000,6.640000,20.490000,15.430000,10.670000,8.160000,-,12.060000,11.030000,2.960000,8.150000,8.010000,8.690000
1995Dec,4.630000,9.850000,8.480000,6.650000,20.490000,15.400000,10.710000,8.210000,-,12.080000,11.120000,2.940000,8.250000,8.000000,9.040000
1995Nov,4.570000,9.840000,8.440000,6.660000,20.680000,15.280000,10.740000,8.180000,-,12.110000,11.110000,2.950000,8.330000,8.010000,8.970000
1995Oct,4.510000,9.810000,8.380000,6.650000,20.730000,15.130000,10.740000,8.360000,-,12.090000,11.100000,2.910000,8.380000,7.960000,8.920000
1995Sep,4.430000,9.730000,8.330000,6.690000,20.860000,15.020000,10.600000,8.410000,-,12.060000,11.180000,2.860000,8.410000,7.820000,8.690000
1995Aug,4.360000,9.670000,8.260000,6.730000,20.810000,14.960000,10.570000,8.450000,-,12.070000,11.160000,2.800000,8.430000,7.760000,8.680000
1995Jul,4.290000,9.630000,8.200000,6.710000,20.710000,14.900000,10.550000,8.440000,-,12.120000,11.150000,2.830000,8.430000,7.810000,8.600000
1995Jun,4.240000,9.600000,8.140000,6.750000,20.620000,14.840000,10.460000,8.480000,9.060000,12.170000,11.110000,2.850000,8.400000,7.840000,8.660000
1995May,4.150000,9.590000,8.090000,6.750000,20.520000,14.820000,10.450000,8.500000,9.050000,12.230000,11.080000,2.800000,8.370000,7.900000,8.620000
1995Apr,4.040000,9.600000,8.070000,6.760000,20.600000,14.900000,10.430000,8.550000,9.050000,12.320000,11.060000,2.820000,8.310000,7.970000,8.760000
1995Mar,3.920000,9.630000,8.070000,6.810000,20.890000,15.040000,10.330000,8.660000,-,12.510000,11.300000,2.840000,8.230000,7.970000,8.670000
1995Feb,3.930000,9.660000,8.140000,6.890000,21.190000,15.230000,10.340000,8.720000,-,12.710000,11.250000,2.850000,8.130000,7.950000,8.790000
1995Jan,4.040000,9.680000,8.190000,6.990000,21.380000,15.400000,10.370000,8.700000,-,12.920000,11.220000,2.890000,7.980000,7.950000,9.050000
1994Dec,3.800000,9.710000,8.250000,7.120000,21.640000,15.540000,10.410000,8.720000,-,13.200000,11.170000,2.940000,7.820000,7.820000,9.000000
1994Nov,3.820000,9.750000,8.300000,7.190000,21.750000,15.700000,10.470000,8.840000,-,13.450000,11.120000,3.010000,7.670000,7.830000,9.020000
1994Oct,3.850000,9.790000,8.350000,7.280000,21.830000,15.880000,10.520000,8.910000,-,13.660000,11.080000,3.100000,7.530000,7.790000,9.040000
1994Sep,3.820000,9.810000,8.390000,7.380000,21.960000,16.070000,10.560000,9.060000,-,13.900000,10.420000,3.100000,7.410000,7.720000,9.010000
1994Aug,3.810000,9.810000,8.430000,7.480000,22.020000,16.290000,10.610000,9.170000,-,14.140000,10.380000,3.070000,7.290000,7.650000,9.330000
1994Jul,3.820000,9.830000,8.470000,7.590000,22.050000,16.540000,10.660000,9.330000,-,14.350000,10.350000,3.150000,7.180000,7.670000,9.400000
1994Jun,3.830000,9.860000,8.510000,7.700000,22.190000,16.810000,10.710000,9.410000,8.880000,14.530000,10.620000,3.240000,7.090000,7.640000,9.610000
1994May,3.860000,9.860000,8.540000,7.840000,22.210000,17.010000,10.760000,9.520000,8.860000,14.680000,10.570000,3.330000,7.000000,7.590000,9.200000
1994Apr,3.830000,9.810000,8.550000,7.990000,22.250000,17.100000,10.790000,9.510000,8.840000,14.840000,10.530000,3.390000,6.920000,7.480000,9.300000
1994Mar,3.830000,9.740000,8.530000,8.180000,22.200000,17.110000,10.810000,9.650000,-,15.000000,10.460000,3.340000,6.850000,7.390000,9.520000
1994Feb,3.900000,9.650000,8.460000,8.360000,22.250000,17.060000,10.810000,9.780000,-,15.100000,10.410000,3.220000,6.800000,7.280000,9.770000
1994Jan,3.970000,9.560000,8.380000,8.550000,22.250000,17.840000,10.790000,9.860000,-,15.260000,10.380000,3.100000,6.770000,7.210000,9.870000
1993Dec,,9.460000,8.280000,8.820000,22.040000,17.710000,10.720000,10.000000,-,15.350000,10.470000,3.040000,6.760000,6.990000,9.770000
1993Nov,,9.320000,8.190000,9.060000,21.860000,17.530000,10.670000,10.060000,-,15.370000,10.410000,2.970000,6.740000,6.820000,9.760000
1993Oct,,9.190000,8.100000,9.260000,21.740000,17.340000,10.610000,10.050000,-,15.410000,10.390000,2.920000,6.700000,6.700000,9.830000
1993Sep,,9.040000,8.020000,9.450000,21.540000,17.120000,10.490000,10.060000,-,15.480000,10.040000,2.860000,6.660000,6.560000,9.660000
1993Aug,,8.880000,7.930000,9.540000,21.360000,16.880000,10.410000,10.080000,-,15.550000,9.950000,2.760000,6.610000,6.500000,9.480000
1993Jul,,8.710000,7.840000,9.680000,21.260000,16.630000,10.330000,10.100000,-,15.630000,9.910000,2.700000,6.560000,6.410000,9.750000
1993Jun,,8.530000,7.740000,9.880000,20.910000,16.340000,10.230000,10.190000,8.640000,15.730000,9.880000,2.520000,6.500000,6.310000,9.850000
1993May,,8.370000,7.650000,9.860000,20.400000,16.030000,10.150000,10.150000,8.610000,15.770000,9.840000,2.410000,6.440000,6.220000,8.660000
1993Apr,,8.220000,7.550000,9.870000,20.180000,15.720000,10.060000,10.170000,8.590000,15.790000,9.750000,2.420000,6.370000,6.130000,8.650000
1993Mar,,8.080000,7.450000,9.700000,19.980000,15.370000,9.950000,10.350000,-,15.840000,9.300000,2.300000,6.300000,5.920000,7.980000
1993Feb,,7.930000,7.350000,9.630000,19.520000,14.970000,9.870000,10.390000,-,15.870000,9.110000,2.190000,6.220000,5.670000,7.570000
1993Jan,,7.780000,7.260000,9.530000,19.160000,14.490000,9.800000,10.380000,-,15.790000,8.960000,2.200000,6.130000,5.500000,7.490000
1992Dec,,7.640000,7.170000,9.310000,18.810000,14.030000,9.760000,10.290000,-,15.730000,8.940000,2.210000,6.030000,5.360000,6.740000
1992Nov,,7.490000,7.070000,9.130000,18.380000,13.630000,9.690000,10.210000,-,15.660000,8.870000,2.200000,5.950000,5.220000,6.460000
1992Oct,,7.350000,6.970000,8.970000,17.970000,13.240000,9.620000,10.120000,-,15.600000,8.880000,2.230000,5.880000,5.120000,6.250000
1992Sep,,7.250000,6.860000,8.840000,17.520000,12.810000,9.570000,9.930000,-,15.610000,9.050000,2.220000,5.810000,5.100000,6.130000
1992Aug,,7.170000,6.750000,8.690000,17.150000,12.350000,9.500000,9.830000,-,15.530000,9.000000,2.140000,5.760000,5.050000,5.990000
1992Jul,,7.110000,6.640000,8.500000,16.910000,11.880000,9.440000,9.830000,-,15.390000,8.920000,2.090000,5.710000,4.970000,5.830000
1992Jun,,7.030000,6.520000,8.410000,16.670000,11.400000,9.410000,9.820000,7.870000,15.190000,8.660000,2.040000,5.670000,4.940000,5.410000
1992May,,6.960000,6.390000,8.410000,16.520000,10.930000,9.350000,9.580000,7.850000,15.240000,8.630000,2.050000,5.640000,4.900000,5.380000
1992Apr,,6.870000,6.280000,8.330000,16.430000,10.520000,9.290000,9.560000,7.820000,15.320000,8.660000,2.030000,5.620000,4.870000,4.950000
1992Mar,,6.780000,6.170000,8.290000,16.250000,10.180000,9.260000,9.350000,-,15.270000,8.720000,1.980000,5.600000,4.800000,4.840000
1992Feb,,6.720000,6.090000,8.250000,16.080000,9.860000,9.200000,9.330000,-,15.200000,8.710000,1.930000,5.600000,4.760000,4.560000
1992Jan,,6.680000,6.020000,8.220000,15.980000,9.500000,9.130000,9.330000,-,15.140000,8.620000,1.840000,5.600000,4.770000,4.320000
1991Dec,,6.650000,5.960000,8.200000,15.930000,9.100000,9.070000,9.200000,-,15.120000,8.580000,1.780000,5.620000,4.850000,4.150000
1991Nov,,6.600000,5.900000,8.180000,15.880000,8.680000,8.990000,9.130000,-,15.110000,8.670000,1.780000,5.630000,5.040000,3.810000
1991Oct,,6.530000,5.830000,8.120000,15.920000,8.290000,8.910000,9.020000,-,15.080000,8.540000,1.760000,5.650000,5.170000,3.720000
1991Sep,,6.470000,5.740000,8.060000,15.860000,7.880000,8.780000,9.000000,-,15.070000,8.470000,1.750000,5.670000,5.230000,3.480000
1991Aug,,6.430000,5.640000,8.000000,15.770000,7.400000,8.700000,8.960000,-,15.040000,8.430000,1.710000,5.680000,5.240000,3.390000
1991Jul,,6.420000,5.540000,7.920000,15.620000,6.870000,8.630000,8.810000,-,14.960000,8.400000,1.640000,5.700000,5.180000,3.160000
1991Jun,,6.410000,5.430000,7.860000,15.400000,6.340000,8.520000,8.600000,6.940000,14.810000,8.410000,1.630000,5.720000,5.000000,2.790000
1991May,,6.380000,5.350000,7.780000,15.260000,5.840000,8.460000,8.520000,6.920000,14.700000,8.450000,1.580000,5.740000,4.850000,2.660000
1991Apr,,6.350000,5.290000,7.700000,15.180000,5.390000,8.410000,8.340000,6.900000,14.560000,8.510000,1.470000,5.770000,4.750000,2.720000
1991Mar,,6.360000,5.260000,7.600000,15.120000,4.980000,8.310000,8.060000,-,14.330000,8.560000,1.430000,5.790000,4.890000,2.620000
1991Feb,,6.350000,5.240000,7.500000,15.130000,4.610000,8.290000,7.710000,-,14.090000,8.620000,1.520000,5.820000,5.010000,2.500000
1991Jan,,6.350000,5.230000,7.430000,15.130000,4.280000,8.290000,7.510000,-,13.870000,8.670000,1.600000,5.840000,5.170000,2.210000
1990Dec,,6.380000,,7.390000,15.300000,3.990000,8.280000,7.380000,-,13.710000,8.740000,1.600000,5.860000,5.310000,2.240000
1990Nov,,6.400000,,7.350000,15.280000,3.760000,8.300000,7.150000,-,13.580000,8.740000,1.630000,5.890000,5.420000,2.300000
1990Oct,,6.410000,,7.330000,15.300000,3.560000,8.330000,6.970000,-,13.440000,8.750000,1.570000,5.920000,5.500000,2.010000
1990Sep,,6.430000,,7.290000,15.250000,3.360000,8.310000,6.880000,-,13.350000,8.770000,1.540000,5.960000,5.770000,1.910000
1990Aug,,6.480000,,7.250000,15.320000,3.200000,8.340000,6.830000,-,13.290000,8.750000,1.590000,5.990000,5.770000,1.700000
1990Jul,,6.530000,,7.190000,15.310000,3.060000,8.380000,6.790000,-,13.250000,8.830000,1.610000,6.040000,5.710000,1.680000
1990Jun,,6.550000,,7.110000,15.460000,2.960000,8.390000,6.730000,6.340000,13.210000,8.940000,1.650000,6.080000,5.610000,1.460000
1990May,,6.580000,,7.050000,15.600000,2.910000,8.440000,6.730000,6.330000,13.200000,8.920000,1.650000,6.120000,5.440000,1.650000
1990Apr,,6.620000,,7.030000,15.630000,2.890000,8.480000,6.760000,6.320000,13.230000,8.870000,1.650000,6.170000,5.410000,1.410000
1990Mar,,6.670000,,7.020000,15.620000,2.900000,8.500000,6.740000,-,13.450000,8.940000,1.700000,6.210000,5.700000,1.400000
1990Feb,,6.740000,,7.010000,15.750000,2.900000,8.540000,6.770000,-,13.690000,9.050000,1.770000,6.260000,5.900000,1.430000
1990Jan,,6.820000,,6.970000,15.860000,2.910000,8.580000,6.770000,-,13.830000,9.140000,1.820000,6.310000,5.990000,1.540000
1989Dec,,6.890000,,6.970000,16.140000,2.940000,8.630000,6.780000,-,13.950000,9.250000,1.810000,6.370000,5.930000,1.530000
1989Nov,,6.970000,,6.990000,16.130000,2.960000,8.650000,6.770000,-,14.070000,9.350000,1.850000,6.420000,5.780000,1.520000
1989Oct,,7.050000,,6.980000,16.100000,2.980000,8.670000,6.820000,-,14.200000,9.440000,1.870000,6.480000,5.730000,1.730000
1989Sep,,7.170000,,6.950000,15.980000,3.020000,8.660000,6.880000,-,14.340000,9.580000,1.870000,6.540000,5.850000,1.500000
1989Aug,,7.250000,,6.860000,16.160000,3.070000,8.660000,6.960000,-,14.460000,9.700000,1.860000,6.610000,5.970000,1.470000
1989Jul,,7.300000,,6.840000,16.220000,3.090000,8.670000,7.030000,-,14.640000,9.770000,1.820000,6.670000,6.070000,1.350000
1989Jun,,7.380000,,6.880000,16.440000,3.070000,8.680000,7.020000,6.730000,14.870000,9.840000,1.750000,6.730000,6.110000,1.470000
1989May,,7.480000,,6.820000,16.660000,3.080000,8.690000,7.090000,6.730000,14.960000,9.830000,1.720000,6.800000,6.050000,1.560000
1989Apr,,7.600000,,6.740000,16.880000,3.130000,8.710000,7.200000,6.730000,15.100000,9.800000,1.760000,6.860000,6.100000,1.650000
1989Mar,,7.720000,,6.670000,17.100000,3.220000,8.690000,7.390000,-,15.250000,9.820000,1.740000,6.930000,6.220000,1.580000
1989Feb,,7.790000,,6.590000,17.310000,3.350000,8.720000,7.510000,-,15.360000,9.850000,1.700000,6.990000,6.230000,1.660000
1989Jan,,7.920000,,6.520000,17.510000,3.490000,8.770000,7.640000,-,15.530000,9.830000,1.740000,7.060000,6.220000,1.530000
1988Dec,,8.070000,,6.410000,17.630000,3.650000,8.760000,7.740000,-,15.670000,9.790000,1.780000,7.120000,6.350000,1.400000
1988Nov,,8.190000,,6.240000,17.730000,3.790000,8.810000,7.910000,-,15.830000,9.830000,1.790000,7.180000,6.380000,1.720000
1988Oct,,8.340000,,6.060000,17.970000,3.910000,8.850000,8.030000,-,15.960000,9.750000,1.850000,7.230000,6.370000,1.800000
1988Sep,,8.510000,,5.910000,18.390000,4.010000,8.760000,8.440000,-,16.070000,9.600000,1.900000,7.280000,6.320000,1.800000
1988Aug,,8.690000,,5.790000,18.720000,4.100000,8.800000,8.310000,-,16.200000,9.640000,1.930000,7.330000,6.280000,1.780000
1988Jul,,8.820000,,5.680000,18.910000,4.180000,8.840000,8.400000,-,16.240000,9.610000,1.960000,7.360000,6.360000,1.880000
1988Jun,,8.940000,,5.550000,19.030000,4.240000,8.790000,8.530000,6.880000,16.260000,9.630000,1.970000,7.400000,6.720000,1.840000
1988May,,9.070000,,5.440000,19.090000,4.270000,8.840000,8.650000,6.890000,16.340000,9.640000,2.040000,7.420000,6.990000,1.880000
