,STS.M.AT.S.UNEH.RTT000.4.000,STS.M.BE.S.UNEH.RTT000.4.000,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.DK.S.UNEH.RTT000.4.000,STS.M.ES.S.UNEH.RTT000.4.000,STS.M.FI.S.UNEH.RTT000.4.000,STS.M.FR.S.UNEH.RTT000.4.000,STS.M.GB.S.UNEH.RTT000.4.000,STS.M.GR.S.UNEH.RTT000.4.000,STS.M.IE.S.UNEH.RTT000.4.000,STS.M.IT.S.UNEH.RTT000.4.000,STS.M.LU.S.UNEH.RTT000.4.000,STS.M.NL.S.UNEH.RTT000.4.000,STS.M.PT.S.UNEH.RTT000.4.000,STS.M.SE.S.UNEH.RTT000.4.000
2012Jun,5.100000,7.610000,5.410000,7.620000,24.840000,7.760000,9.720000,7.960000,24.870000,14.710000,10.790000,5.080000,5.690000,15.460000,7.850000
2012May,4.940000,7.620000,5.420000,7.870000,24.610000,7.690000,9.730000,7.900000,24.000000,14.700000,10.370000,5.110000,5.670000,15.400000,8.250000
2012Apr,4.630000,7.470000,5.430000,7.780000,24.200000,7.620000,9.640000,7.970000,23.470000,14.830000,10.520000,5.040000,5.700000,15.420000,7.490000
2012Mar,4.580000,7.260000,5.430000,7.650000,23.850000,7.550000,9.540000,8.120000,22.660000,14.990000,10.340000,5.060000,5.530000,15.040000,7.480000
2012Feb,4.580000,7.200000,5.440000,7.560000,23.550000,7.490000,9.470000,8.150000,22.190000,15.120000,9.840000,4.940000,5.470000,14.620000,7.780000
2012Jan,4.610000,7.180000,5.470000,7.540000,23.210000,7.500000,9.430000,8.240000,21.520000,15.150000,9.380000,4.920000,5.510000,14.320000,7.930000
2011Dec,4.740000,7.170000,5.500000,7.620000,22.890000,7.540000,9.370000,8.260000,21.310000,15.140000,9.470000,4.940000,5.360000,14.380000,7.800000
2011Nov,4.940000,7.310000,5.550000,7.730000,22.660000,7.590000,9.310000,8.310000,20.600000,15.110000,9.270000,4.770000,5.390000,13.960000,7.670000
2011Oct,4.700000,7.350000,5.610000,7.690000,22.420000,7.640000,9.250000,8.410000,20.220000,15.010000,8.690000,4.820000,5.230000,13.510000,7.830000
2011Sep,4.280000,7.460000,5.670000,7.650000,22.150000,7.680000,9.150000,8.340000,19.140000,14.920000,8.870000,4.960000,5.060000,13.220000,7.530000
2011Aug,4.050000,7.500000,5.730000,7.570000,21.760000,7.720000,9.150000,8.300000,18.650000,14.920000,8.510000,5.060000,4.910000,12.790000,7.690000
2011Jul,4.150000,7.360000,5.780000,7.590000,21.420000,7.770000,9.130000,8.170000,17.800000,14.700000,8.360000,4.990000,4.900000,12.410000,7.730000
2011Jun,4.360000,7.130000,5.830000,7.530000,21.020000,7.790000,9.080000,8.020000,17.210000,14.470000,8.020000,4.820000,4.710000,12.330000,7.910000
2011May,4.540000,7.050000,5.900000,7.360000,20.670000,7.800000,9.010000,7.930000,16.940000,14.360000,8.070000,4.790000,4.790000,12.520000,7.780000
2011Apr,4.590000,6.940000,5.980000,7.440000,20.510000,7.860000,9.020000,7.810000,16.330000,14.280000,7.730000,4.740000,4.750000,12.410000,7.670000
2011Mar,4.730000,6.970000,6.090000,7.410000,20.570000,7.950000,9.030000,7.680000,16.060000,14.300000,7.820000,4.730000,4.770000,12.470000,7.880000
2011Feb,4.890000,7.080000,6.230000,7.600000,20.450000,8.000000,9.110000,7.730000,15.450000,14.350000,7.820000,4.710000,4.890000,12.220000,7.760000
2011Jan,4.790000,7.310000,6.380000,7.580000,20.360000,8.020000,9.130000,7.760000,15.090000,14.620000,8.070000,4.680000,4.950000,12.220000,7.990000
2010Dec,4.460000,7.650000,6.510000,7.670000,20.280000,8.030000,9.170000,7.810000,14.760000,15.060000,8.090000,4.800000,4.960000,12.180000,8.040000
2010Nov,4.380000,7.870000,6.620000,7.550000,20.250000,8.040000,9.190000,7.780000,14.270000,14.940000,8.150000,4.780000,4.930000,12.230000,8.000000
2010Oct,4.590000,8.070000,6.690000,7.550000,20.240000,8.060000,9.180000,7.810000,13.920000,14.740000,8.490000,4.600000,4.920000,12.030000,8.280000
2010Sep,4.800000,8.250000,6.750000,7.450000,20.220000,8.150000,9.220000,7.770000,13.390000,14.300000,8.230000,4.490000,4.970000,12.200000,8.400000
2010Aug,4.890000,8.420000,6.790000,7.360000,20.140000,8.280000,9.240000,7.630000,12.930000,13.850000,8.210000,4.430000,5.020000,12.320000,8.420000
2010Jul,4.830000,8.550000,6.850000,7.440000,20.020000,8.390000,9.170000,7.680000,12.700000,13.620000,8.340000,4.380000,5.020000,12.320000,8.740000
2010Jun,4.800000,8.530000,6.930000,7.550000,20.020000,8.450000,9.220000,7.750000,12.480000,13.710000,8.330000,4.460000,4.990000,12.330000,8.240000
2010May,4.930000,8.460000,7.040000,7.510000,19.900000,8.500000,9.290000,7.770000,12.220000,13.790000,8.530000,4.370000,4.970000,12.080000,8.780000
2010Apr,5.000000,8.420000,7.170000,7.650000,19.700000,8.550000,9.290000,7.840000,11.910000,13.580000,8.540000,4.500000,4.970000,11.930000,9.260000
2010Mar,5.010000,8.340000,7.280000,7.570000,19.390000,8.600000,9.290000,7.920000,11.620000,13.180000,8.420000,4.610000,5.060000,11.590000,8.820000
2010Feb,5.020000,8.250000,7.360000,7.360000,19.150000,8.660000,9.360000,7.980000,11.380000,13.040000,8.530000,4.670000,5.080000,11.500000,8.890000
2010Jan,5.000000,8.180000,7.430000,7.020000,19.000000,8.700000,9.420000,7.890000,11.080000,13.150000,8.390000,4.640000,5.090000,11.270000,9.080000
2009Dec,5.190000,8.150000,7.490000,6.920000,18.960000,8.690000,9.480000,7.650000,10.670000,13.210000,8.380000,4.780000,4.980000,11.300000,8.970000
2009Nov,5.460000,7.970000,7.570000,6.920000,18.820000,8.640000,9.560000,7.700000,10.530000,13.190000,8.150000,4.870000,4.860000,11.200000,8.690000
2009Oct,5.670000,7.900000,7.660000,7.170000,18.750000,8.540000,9.500000,7.740000,10.140000,13.070000,8.050000,4.970000,4.730000,11.290000,8.720000
2009Sep,5.720000,7.930000,7.760000,6.790000,18.640000,8.430000,9.270000,7.800000,9.940000,13.020000,8.170000,4.980000,4.670000,11.270000,8.750000
2009Aug,5.670000,7.950000,7.830000,6.210000,18.350000,8.360000,9.160000,7.780000,9.710000,12.620000,7.950000,5.050000,4.560000,11.170000,8.750000
2009Jul,5.610000,7.860000,7.860000,5.900000,18.100000,8.330000,9.100000,7.820000,9.610000,12.360000,7.820000,5.110000,4.480000,10.970000,8.380000
2009Jun,5.500000,7.790000,7.840000,5.820000,17.880000,8.260000,9.150000,7.830000,9.410000,12.230000,7.660000,5.250000,4.280000,10.720000,8.410000
2009May,5.280000,7.680000,7.770000,5.930000,17.750000,8.060000,9.210000,7.720000,9.230000,12.090000,7.320000,5.240000,4.190000,10.510000,8.860000
2009Apr,5.250000,7.810000,7.690000,5.520000,17.540000,7.860000,9.090000,7.550000,9.200000,11.670000,7.440000,5.310000,4.120000,10.320000,7.840000
2009Mar,5.010000,7.940000,7.590000,5.250000,17.240000,7.600000,8.870000,7.250000,9.110000,11.110000,7.610000,5.400000,3.900000,10.060000,7.780000
2009Feb,4.640000,7.780000,7.480000,4.900000,16.590000,7.300000,8.570000,7.050000,9.070000,10.400000,7.310000,5.390000,3.810000,9.760000,7.690000
2009Jan,4.680000,7.470000,7.360000,4.630000,15.740000,6.930000,8.230000,6.720000,9.100000,9.600000,7.180000,5.400000,3.730000,9.560000,6.820000
2008Dec,4.740000,6.980000,7.230000,4.400000,14.780000,6.750000,7.950000,6.440000,8.630000,8.600000,6.800000,5.230000,3.680000,9.270000,6.810000
2008Nov,4.440000,6.770000,7.120000,3.910000,13.870000,6.650000,7.730000,6.280000,7.870000,8.080000,6.930000,5.210000,3.610000,8.870000,6.970000
2008Oct,4.070000,6.970000,7.070000,3.610000,13.030000,6.600000,7.580000,6.110000,7.660000,7.630000,6.810000,5.150000,3.610000,8.870000,6.320000
2008Sep,4.070000,7.300000,7.080000,3.470000,12.260000,6.550000,7.530000,5.920000,7.620000,7.320000,6.860000,5.150000,3.630000,8.900000,6.420000
2008Aug,4.120000,7.530000,7.160000,3.460000,11.710000,6.470000,7.470000,5.810000,7.560000,7.010000,7.010000,5.060000,3.570000,8.920000,5.910000
2008Jul,3.950000,7.450000,7.290000,3.420000,11.290000,6.390000,7.450000,5.690000,7.490000,6.530000,6.720000,4.940000,3.630000,8.680000,6.180000
2008Jun,3.810000,7.060000,7.430000,3.410000,10.900000,6.330000,7.390000,5.420000,7.430000,5.970000,7.090000,4.880000,3.680000,8.750000,6.610000
2008May,3.880000,6.810000,7.550000,3.140000,10.390000,6.260000,7.300000,5.290000,7.300000,5.560000,6.760000,4.830000,3.690000,8.620000,5.790000
2008Apr,3.960000,6.870000,7.640000,3.130000,9.870000,6.210000,7.250000,5.140000,7.900000,5.300000,6.810000,4.670000,3.670000,8.560000,5.590000
2008Mar,4.120000,6.950000,7.730000,3.190000,9.290000,6.210000,7.150000,5.220000,8.170000,5.190000,6.340000,4.400000,3.610000,8.640000,5.790000
